Voc,Jsc,FF,PCE,Cs,MA,FA,Pb,Sn,I,Br,BG,CBO,VBO,arch_nip,arch_pin,h_mobility,e_mobility,CBM,VBM,ETL_CBM,HTL_VBM,Reference
1.4,15.24,0.832,17.8,1,0,0,1,0,2,1,1.9,-0.3,0.68,1,0,0.000716,0.000992,-4.01,-5.91,-4.31,-5.23,10.1016/j.nantod.2022.101586
1.32,15.2,0.792,15.9,1,0,0,1,0,2,1,1.9,-0.3,1.08,1,0,0.000191,0.000992,-4.01,-5.91,-4.31,-4.83,10.1016/j.nantod.2022.101586
1.09,24,0.758,19.83,0,0.15,0.85,1,0,3,0,1.53,-0.1,0.41,1,0,0.000465,2.93E-05,-4.1,-5.63,-4.2,-5.22,10.1002/solr.201900220
1.042,23.23,0.743,18,0,0.15,0.85,1,0,2.55,0.45,1.73,-0.18,0.49,1,0,0.000465,2.93E-05,-3.92,-5.65,-4.1,-5.16,10.1002/adfm.201801734
0.991,16.96,0.686,11.5,1,0,0,1,0,3,0,1.69,-0.41,0.15,1,0,0.0012,2.93E-05,-3.6,-5.29,-4.01,-5.14,10.1038/s41467-018-06915-6 
1.06,13.8,0.716,10.5,1,0,0,1,0,3,0,1.69,-0.6,0.29,1,0,0.000191,2.93E-05,-3.6,-5.29,-4.2,-5,10.1038/s41467-018-06915-6 
1.13,21.07,0.78,19.03,0,0.15,0.85,1,0,2.55,0.45,1.73,-0.28,0.41,1,0,0.00026,2.93E-05,-3.92,-5.65,-4.2,-5.24,10.1039/c7ta01718a
1.11,19.31,0.69,14.87,0,0.15,0.85,1,0,2.55,0.45,1.73,-0.28,0.31,1,0,1.10E-05,2.93E-05,-3.92,-5.65,-4.2,-5.34,10.1039/c7ta01718a
1.12,22.25,0.76,19.01,0,0.15,0.85,1,0,2.55,0.45,1.73,-0.28,0.43,1,0,0.000465,2.93E-05,-3.92,-5.65,-4.2,-5.22,10.1039/c7ta01718a
1.1,22.4,0.79,19.4,0.05,0.1615,0.7885,1,0,2.49,0.51,1.7,-0.6,0.5,0,1,0.0002,8.00E-05,-3.9,-5.6,-4.5,-5.1,10.1002/solr.201900468
0.77,27.82,0.72,15.41,0,0.4,0.6,0.4,0.6,3,0,1.25,0.06,0.71,0,1,2.20E-05,8.00E-05,-4.36,-5.61,-4.3,-4.9,10.1002/adfm.201804427
0.86,27.92,0.751,18.03,0,0.4,0.6,0.4,0.6,3,0,1.25,0.06,0.11,0,1,1.81E-05,8.00E-05,-4.36,-5.61,-4.3,-5.5,10.1002/adfm.201804427
1.08,21.4,0.72,16.6,0,1,0,1,0,3,0,1.5,-0.2,0.1,1,0,0.000465,2.93E-05,-3.9,-5.4,-4.1,-5.3,10.1016/j.jallcom.2019.02.027
1.11,16.91,0.7675,14.35,0.05,0.1615,0.7885,1,0,2.49,0.51,1.6,0.2,0.46,0,1,3.61E-06,0.0004,-4,-5.6,-3.8,-5.14,10.1002/solr.201900319
1.09,20.5,0.7843,17.57,0.05,0.1615,0.7885,1,0,2.49,0.51,1.6,0.2,0.49,0,1,1.42E-05,0.0004,-4,-5.6,-3.8,-5.11,10.1002/solr.201900319
1.03,21.05,0.796,17.5,0,1,0,1,0,3,0,1.53,-0.27,0.05,1,0,0.00026,2.93E-05,-3.93,-5.46,-4.2,-5.41,10.1002/aenm.201703007
1.04,21.08,0.76,16.8,0,1,0,1,0,3,0,1.53,-0.27,0.35,1,0,0.00015,2.93E-05,-3.93,-5.46,-4.2,-5.11,10.1002/aenm.201703007
1.03,17.9,0.653,12.7,0,1,0,1,0,3,0,1.53,-0.27,0.15,1,0,2.40E-05,2.93E-05,-3.93,-5.46,-4.2,-5.31,10.1002/aenm.201703007
1.09,23.1,0.78,19.6,0,0.15,0.85,1,0,2.55,0.45,1.73,-0.28,0.45,1,0,0.000359,2.93E-05,-3.92,-5.65,-4.2,-5.2,10.1016/j.synthmet.2019.02.011
1.07,22.1,0.78,18.4,0,0.15,0.85,1,0,2.55,0.45,1.73,-0.28,0.39,1,0,0.000188,2.93E-05,-3.92,-5.65,-4.2,-5.26,10.1016/j.synthmet.2019.02.011
1.07,20.62,0.738,16.3,0,1,0,1,0,3,0,1.5,-0.3,0.18,1,0,0.000465,2.93E-05,-3.9,-5.4,-4.2,-5.22,10.1021/acsaem.8b00192
0.62,15.67,0.723,7.04,1,0,0,0.4,0.6,3,0,1.3,-0.34,-0.04,0,1,0.00033,0.0004,-3.66,-4.96,-4,-5,10.1016/j.nanoen.2020.105309
0.67,16.8,0.707,7.96,1,0,0,0.4,0.6,2.7,0.3,1.33,-0.24,0.09,0,1,0.00033,0.0004,-3.76,-5.09,-4,-5,10.1016/j.nanoen.2020.105309
0.86,19.02,0.751,12.34,1,0,0,0.4,0.6,2.4,0.6,1.35,-0.14,0.21,0,1,0.00033,0.0004,-3.86,-5.21,-4,-5,10.1016/j.nanoen.2020.105309
0.8,14.91,0.684,8.16,1,0,0,0.4,0.6,2,1,1.42,0.06,0.48,0,1,0.00033,0.0004,-4.06,-5.48,-4,-5,10.1016/j.nanoen.2020.105309
1.1,22.9,0.797,20.1,0,0,1,1,0,3,0,1.5,-0.08,0.32,0,1,0.00033,5.50E-05,-3.92,-5.42,-4,-5.1,10.1002/adfm.201800346
1.09,23,0.798,20.01,0,0,1,1,0,3,0,1.5,-0.18,0.32,0,1,0.00033,0.0004,-3.92,-5.42,-4.1,-5.1,10.1002/adfm.201800346
0.988,20.51,0.7751,15.71,0,1,0,1,0,3,0,1.55,-0.03,0.27,0,1,0.000351,0.0004,-3.92,-5.47,-3.95,-5.2,10.1021/acsami.6b13372
0.97,24,0.663,15.45,0,1,0,1,0,3,0,1.52,-0.09,0.29,1,0,7.14E-05,2.93E-05,-3.91,-5.43,-4,-5.14,10.1002/solr.201800352
1.09,23.95,0.7035,18.22,0,1,0,1,0,3,0,1.52,-0.09,0.3,1,0,0.000465,2.93E-05,-3.91,-5.43,-4,-5.13,10.1002/solr.201800352
1.08,20.8,0.818,18.36,0,0.7,0.3,1,0,3,0,1.5,-0.2,0.3,1,0,0.000247,0.000992,-3.9,-5.4,-4.1,-5.1,10.1039/c7ta08053k
1.1,21.9,0.787,19.13,0,0.7,0.3,1,0,3,0,1.5,-0.2,0.2,1,0,0.000141,0.000992,-3.9,-5.4,-4.1,-5.2,10.1039/c7ta08053k
1.1,23.11,0.764,19.38,0.05,0.1615,0.7885,1,0,2.49,0.51,1.6,-0.58,0.18,1,0,0.000465,0.00065,-3.8,-5.4,-4.38,-5.22,10.1021/acsami.9b13278
1.14,22.1,0.754,19,0,0.15,0.85,1,0,2.55,0.45,1.62,-0.6,0.34,1,0,0.000465,0.00119,-3.94,-5.56,-4.54,-5.22,10.1021/acsenergylett.7b00888
0.46,21.4,0.427,4.29,0,1,0,0,1,3,0,1.26,-1.02,-0.26,0,1,0.00033,8.00E-05,-3.48,-4.74,-4.5,-5,10.1002/advs.201700204
0.48,20.7,0.452,4.49,0,0.75,0.25,0,1,3,0,1.28,-0.97,-0.19,0,1,0.00033,8.00E-05,-3.53,-4.81,-4.5,-5,10.1002/advs.201700204
0.53,21.3,0.524,5.92,0,0.5,0.5,0,1,3,0,1.3,-0.95,-0.15,0,1,0.00033,8.00E-05,-3.55,-4.85,-4.5,-5,10.1002/advs.201700204
0.61,21.2,0.627,8.12,0,0.25,0.75,0,1,3,0,1.33,-0.95,-0.12,0,1,0.00033,8.00E-05,-3.55,-4.88,-4.5,-5,10.1002/advs.201700204
0.48,21.3,0.646,6.6,0,0,1,0,1,3,0,1.36,-0.98,-0.12,0,1,0.00033,8.00E-05,-3.52,-4.88,-4.5,-5,10.1002/advs.201700204
1.09,21.65,0.774,18.32,0.05,0.16,0.78,1,0,2.5,0.5,1.6,-0.4,0.38,1,0,0.000465,0.000992,-4,-5.6,-4.4,-5.22,10.1039/c8ta11945g
1.14,22.84,0.7579,19.81,0,0.15,0.85,1,0,2.55,0.45,1.55,-0.07,0.26,1,0,0.000465,2.93E-05,-3.93,-5.48,-4,-5.22,10.1002/adma.201804028
1.12,25.75,0.677,19.5,0,0.15,0.85,1,0,2.55,0.45,1.55,-0.07,0.52,1,0,0.0001,2.93E-05,-3.93,-5.48,-4,-4.96,10.1002/adma.201804028
0.99,20.96,0.74,15.34,0,1,0,1,0,3,0,1.5,-0.3,0.2,1,0,0.000465,0.000992,-3.9,-5.4,-4.2,-5.2,10.1016/j.orgel.2018.10.028
1.105,23.5,0.748,19.4,0,0.15,0.85,1,0,2.55,0.45,1.73,-0.08,0.26,1,0,0.000341,2.93E-05,-3.92,-5.48,-4,-5.22,10.1002/aenm.201602556
1.08,23.1,0.734,18.3,0,0.15,0.85,1,0,2.55,0.45,1.73,-0.08,0.42,1,0,0.00019,2.93E-05,-3.92,-5.48,-4,-5.06,10.1002/aenm.201602556
0.95,22.96,0.73,15.95,0,1,0,1,0,3,0,1.5,-0.5,0.18,1,0,0.000465,0.004059,-3.9,-5.4,-4.4,-5.22,10.1016/j.cej.2020.126303
1.1,22.3,0.725,17.7,0,0.15,0.85,1,0,2.55,0.45,1.73,-0.08,0.49,1,0,0.000465,2.93E-05,-3.92,-5.65,-4,-5.16,10.1039/c7ta11314e
